INFO  2018-11-12 08:57:13,432 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 08:57:33,197 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 09:00:08,923 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 09:00:26,910 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 09:02:52,208 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 09:04:25,683 Panel_2_TableFields -  ---------- EDIT TAULA ------
INFO  2018-11-12 09:05:55,180 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 09:06:10,297 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 09:06:48,361 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 09:07:35,083 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 09:08:21,556 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 09:08:44,832 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 09:08:57,717 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 09:09:11,133 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 09:09:15,033 RebApp - INIT BUTTON STATUS: true
INFO  2018-11-12 09:09:43,207 Panel_5_StoreProject - 
 =============== CHECKS ============== 
INFO  2018-11-12 09:09:43,285 Panel_5_StoreProject - Executing Checks in 78ms
ERROR 2018-11-12 09:09:43,301 Panel_5_StoreProject - 

-- ==== ERRORS EN TAULA ]TraduccioMap[:

 --  Error de forma en contraint Primary KEY 
ALTER INDEX dib_traducmap_pk RENAME to dib_traducciomap_pk;
-- La ForeignKey dib_traducmap_traduccio_fk de la taula TraduccioMap no té un nom correcte (esperat dib_traduccmap_traduccio_*_fk )
ALTER TABLE dib_traducciomap DROP CONSTRAINT dib_traducmap_traduccio_fk;
ALTER TABLE dib_traducciomap ADD CONSTRAINT dib_traduccmap_traduccio_traducciomapid_fk  FOREIGN KEY (traducciomapid)  REFERENCES dib_traduccio (traduccioid);
 --  Error de forma en contraint Primary KEY 
ALTER INDEX dib_traducmap_pk RENAME to dib_traducciomap_pk;


-- ==== ERRORS EN TAULA ]UsuariAplicacio[:

 --  Error de forma en contraint unique
ALTER TABLE dib_usuariaplicacio DROP CONSTRAINT dib_usuariaplicacio_uk;
